경북영덕점,"경상북도 영덕군 영덕읍 덕곡길 106-1,1층",054-732-1003,11:00~21:30
경북영천점,경상북도 영천시 야사동 331-43 (모란2길 22-6 (야사동)),054-333-1197,11:00~21:00
경북예천점,경상북도 예천군 예천읍 중앙로 78,054-654-0001,11:00~21:00
경북의성점,경상북도 의성군 의성읍 중리리 693-5,054-834-4343,10:30~22:00
경북청도점,경상북도 청도군 청도읍 청화로 132 1층,054-373-9959,11:00~22:30
경산역점,경북 경산시 중앙로 7 (사정동) ,053-818-3777,10:00~22:30
경산옥산점,"경상북도 경산시 성암로 45 ,1층",053-812-2131,11:00~23:00
경산자인점,경상북도 경산시 자인면 동부리 36-1,053-854-7959,11:00~22:00
경산중산점,경상북도 경산시 중산동  637-2,053-815-8700,10:30~22:30
경산진량중앙점,"경상북도 경산시 진량읍 공단로 469,1층",053-852-3572,11:00~21:00
경상대점,경상남도 진주시 진주대로 500,055-753-7799,09:30~23:00
경인교대점,인천광역시 계양구 계산동  968-12 1층,032-555-0770,10:30~22:30
경주금장점,경상북도 경주시 현곡면 안현로 6,054-775-3382,11:00~22:00
경주동천점,"경상북도 경주시 동천로 64, (동천동)",054-775-8778,11:00~22:00
경주안강점,경북 경주시 안강읍 양월리 1134-4 1층,054-763-0908,10:00~21:00
경주양남점,경북 경주시 양남면 동해안로 643 (나아리) 1층,054-775-8230,11:00~21:00
경주용황점,경상북도 경주시 용황구획4길 41,054-744-3399,10:30~22:00
경주월드점1,"경상북도 경주시 보문로 544, 경주월드버클리클럽 2층",070-7113-6374,10:00~18:00
경주중앙점,경상북도 경주시 노동동  141-1,054-776-9797,11:00~21:00
경주충효점,경상북도 경주시 충효녹지길 34,054-743-8884,10:00~22:00
경희대로점,"서울특별시 동대문구 경희대로 5-1, 2층",02-967-7733,10:00~22:00
계대동문점,"대구광역시 달서구 신당동  1790-9, 2층",053-587-5551,10:00~23:00
계룡금암점,충남 계룡시 금암동 146-9 105호,042-841-9249,10:30~22:30
계룡엄사점,충청남도 계룡시 엄사면 엄사중앙로 106(엄사리 180-3),042-841-9288,09:00~21:00
계산역점,인천광역시 계양구 경명대로 1083,032-543-1255,11:00~21:30
고대타이거플라자점,서울특별시 성북구 안암동5가 1-2,02-926-2622,10:00~20:00
고대하나스퀘어점,서울특별시 성북구 안암로 145 고려대학교 자연캠퍼스 B1,02-3290-2635,10:00~20:00
고려대세종캠퍼스점,"세종특별자치시 조치원읍 내창1길 36, 1층",044-868-9288,10:00~21:30
고신대점,부산광역시 영도구 와치로 246,051-405-7733,11:00~22:30
고양능곡점,경기도 고양시 덕양구 지도로 101,031-972-8982,11:00~23:00
고양동점,경기도 고양시 덕양구 혜음로 27,031-938-9724,11:00~22:00
고양서정마을점,경기도 고양시 덕양구 서정마을1로 20-10 1층,031-971-8399,11:00~2:00
고양원당어울림점,경기도 고양시 덕양구 고양대로 1384번길 7-5,031-967-8982,10:00~22:40
고양원흥지구점,경기도 고양시 덕양구 도래울2로 3,031-962-1280,11:00~22:00
고양중부대점,경기도 고양시 덕양구 동헌로 307번길 6,031-969-1001,11:00~23:00
고양풍동점,"경기도 고양시 일산동구 숲속마을1로 77, 107호,108호 (풍동,그린메디피아)",031-905-9555,11:00~22:30
고읍점,경기도 양주시 고읍남로 20-5,031-844-1371,11:00~23:00
고잔신도시점,"경기도 안산시 단원구 광덕동로 61, 115,116호(고잔동)",031-403-8892,11:00~22:30
고척사거리점,서울 구로구 고척동 189 101호,02-2615-1577,10:00~22:20
고흥녹동점,전라남도 고흥군 도양읍 우주항공로 54,061-842-4422,11:00~21:30
곤양점,경상남도 사천시 곤양면 성내리 199,055-854-3474,11:00~23:00
공군교육사령부점,경남 진주시 금산면 송백로 46 (송백리) 사서함 306-1,055-758-7774,10:00 ~ 20:00
공룡루지테마파크점,전라남도 여수시 소라면 안심산길 155,,11:00~21:00
공주대신관점,"충청남도 공주시 번영1로 116-8,1층",041-858-9288,10:00~22:00
공주중동점,충청남도 공주시 웅진로 153-2,041-855-0020,10:00~22:00
공주터미널점,"충청남도 공주시 신관동  455, 1층",041-531-8288,10:00~22:00
공항신도시점,"인천광역시 중구 운서동  2796-1, 골드프라자 102호 (신도시남로141번길 9, 102호(운",032-747-0057,10:00~22:00
과기대점,서울특별시 노원구 공릉동   440-16번지 2층,02-978-8292,11:00~22:00
과천점,"경기도 과천시 중앙동  40-11번지 102,103호",02-502-5042,10:00~23:00
관산점,"경기도 고양시 덕양구 통일로 760번지 103,104호",031-963-9005,11:00~22:20
관악난곡점,서울특별시 관악구 신림동  617-9,02-863-3190,10:30~22:00
관악대학동점,서울특별시 관악구 신림동  238-10 제비호 1층,02-6465-5362,10:30~22:00
관악사당역점,서울특별시 관악구 남현동  1061-23 사당타워 2층,02-585-2229,11:00~22:30
관악신대방역점,서울특별시 관악구 신사로 90 1층 105호,02-852-5888,10:30~21:30
관양점,경기도 안양시 동안구 관평로 330,031-388-0505,10:00~22:30
관저건양대점,대전광역시 서구 도안남로 142(관저동) 도안프라자 1층,042-542-0959,10:30~22:00
광교역점,경기도 수원시 영통구 이의동  1254-2,031-214-3459,10:30~21:00
광교중앙점,"경기도 수원시 영통구 이의동  1369-1, 1층 106호",031-216-6555,11:00~22:30
광명소하점,"경기도 광명시 소하로 81, 1층 104호",02-897-2777,10:00~22:00
광명역점,"경기 광명시 양지로 19 (일직동) 104,105호",02-897-2004,11:00~22:30
광명철산점,"경기도 광명시 오리로856번길 8, 2층",02-2066-5515,09:20~01:20
광안해변점,부산 수영구 광남로 151 (광안동 태영빌딩) ,051-755-9233,09:30~24:00
광양용강점,전라남도 광양시 광양읍 용강리 869-11,061-761-3009,10:30~21:00
광양제철점,"전남 광양시 희망길 12-7 (금호동, 기가타운) 102 - 2호",061-795-7931,11:00~21:00
광양중동점,"전라남도 광양시 광장1길 17, 1층",061-973-2262,10:10~21:40
광장동점,"서울특별시 광진구 아차산로 502, 101호 ~ 102호",02-458-0003,10:30~21:30
광주경안점,경기도 광주시 경안로 16,031-762-7672,10:00~24:00
광주곤지암점,경기도 광주시 곤지암읍 곤지암리 430-9 1층,031-797-1436,10:00~22:00
광주금호점,광주광역시 서구 풍금로 171번길 5,062-654-5123,11:00~21:30
광주대점,"광주광역시 남구 효덕로 280, 1층",062-671-0026,10:30~20:30
광주동천점,광주광역시 서구 유림로 100번지 (동천동),062-524-0077,11:00~22:30
광주문흥점,"광주광역시 북구 대천로 140-8,1층",062-265-0082,11:00~21:30
광주봉선점,광주광역시 남구 봉선로  176,062-651-9285,11:00~22:00
광주상무점,광주광역시 서구 치평동  1168-1번지 상무프라자,062-376-0010,10:30~22:00
광주소촌점,광주광역시 광산구 소촌로152번길 1동 101호,062-942-1190,10:30~22:30
광주송정점,"광주광역시 광산구 광산로 14, 1층",062-942-1192,11:00~22:00
광주신현리점,"경기도 광주시 오포읍 신현로 84, 1동 1층",031-717-7183,10:00~21:30
광주쌍촌점,광주광역시 서구 쌍촌동  1321,062-374-9200,11:00~21:00
광주양산점,"광주광역시 북구 양산택지로 57,1층",062-572-9231,11:00~22:00
광주역동점,경기 광주시 장지1길 28 (장지동 대광프라자) 103호,031-761-4100,10:30~22:00
광주오치매곡점,광주광역시 북구 오치동  862-22,062-251-5045,11:00~22:30
광주유스퀘어점,광주 서구 무진대로 904 광천동 유스퀘어광천터미널 2F,062-351-0111,10:30~22:00
광주진월점,광주광역시 남구 진월동  250-13,062-651-1300,10:00~21:30
광주첨단2지구점,"광주광역시 북구 신용동  733, 솔로몬빌딩 102호",062-571-1777,10:00~21:30
광주첨단점,광주광역시 광산구 첨단중앙로 96,062-971-9388,10:00~22:30
광주충장점,광주광역시 동구 중앙로160번길 15-2 2층,062-227-3456,11:00~21:30
광주태전점,경기도 광주시 고불로 46번길 4,031-763-6249,10:00~21:30
광주퇴촌점,경기 광주시 퇴촌면 도수리 618-22 1층,031-761-1761,10:00~22:00
광주풍암점,"광주광역시 서구 풍암2로 20, 1층",062-675-3536,11:00~22:00
광주풍향점,"광주광역시 북구 군왕로 1, 맘스터치",062-515-5045,10:30~22:30
광주하남2지구점,광주광역시 광산구 산정동  1042,062-953-7177,11:00~22:00
광주학동점,광주광역시 동구 학동  732-1,062-236-1289,
광주화정점,광주광역시 서구 월드컵4강로 92,062-651-9282,11:00~20:30
괴산점,"충청북도 괴산군 괴산읍 동부리 661-64, 1층",043-833-9992,10:30~22:50
괴정휴포레점,부산광역시 사하구 사하로 183 휴포레아파트상가 105호,051-206-6243,10:00~21:00
교하점,"경기도 파주시 청석로 260, 101호(동패동)",031-941-6668,10:30~22:00
구남역점,"부산광역시 북구 백양대로 1018,2층",051-332-0519,11:00~22:00
구례점,전라남도 구례군 구례읍 봉성로 53 1층,061-781-5553,11:00~22:00
구로구일역점,서울특별시 구로구 구로동  642-108,02-853-1122,10:00~22:30
구로디지털단지역점,서울 구로구 시흥대로 577 (구로동) 1층 7호,02-853-8864,10:00~01:00
구로시장점,서울특별시 구로구 구로동  313-150,02-866-7745,10:00~22:30
구로신도림점,"서울특별시 구로구 경인로59길 8, 207호",02-2068-8563,10:30~21:30
구로항동점,"서울특별시 구로구 항동  122, 항동프라자",02-3666-0255,10:00~21:50
구리갈매점,경기도 구리시 갈매중앙로 89-10,031-574-4600,11:00~23:00
구리역점,"경기도 구리시 건원대로34번길 15, 1층 106호 (인창동)",031-558-8982,11:00~23:00
구리한대병원점,"경기도 구리시 경춘로 168,1층",031-555-0802,11:00~22:30
구미구평점,경북 구미시 구평동 447-2 ,054-473-7373,10:30~22:00
구미문성점,경북 구미시 고아읍 들성로 235 (문성리) ,054-457-3600,11:00 ~ 22:00
구미비산점,경북 구미시 신비로 121-6 (비산동) ,054-465-5656,10:00~22:00
구미산동점,경북 구미시 산동읍 신당1로2길 13 (신당리) 111호,054-471-3133,10:30~22:00
구미선산점,경상북도 구미시 선산읍 동부리 525-11,054-481-4900,11:00~22:00
구미송정점,"경상북도 구미시 박정희로 599,푸르지오캐슬A단지 상가",054-444-2289,10:30~22:00
구미역점,경상북도 구미시 원평동 1008-98,054-444-2285,10:30~22:00
구미옥계점,경상북도 구미시 옥계동  833-1번지 101호,054-491-3038,10:00~22:00
구미인동점,경상북도 구미시 인동중앙로 37,054-475-3038,10:30~22:00
구미형곡점,경상북도 구미시 신시로7길 29,054-417-1882,10:00~22:30
구산역점,서울특별시 은평구 역촌동  7-1,02-385-1977,11:00~22:30
구산점,경상남도 김해시 구산동 1083-5 (김해대로1902번길 55 (구산동)),055-331-3210,11:00~22:30
구서역점,부산광역시 금정구 중앙대로1841번길 29 (구서동 252-15),051-517-9242,10:00~23:00
구영리점,"울산광역시 울주군 범서읍 구영리 853-1, 106호 (점촌3길 8-2, 106호)",052-211-4292,11:00~22:30
구월1점,"인천광역시 남동구 구월동 70-14 홍인빌딩 103호 (용천로 87 (구월동,흥인빌딩 103호))",032-464-0418,12:00~21:30
구월아시아드점,"인천광역시 남동구 인하로 627, 스카이프라자 104,105호 (구월동 1517-1)",032-469-0576,10:30~22:30
구파발역점,서울특별시 은평구 진관3로 21 (진관동) 엘크루상가 124호,02-385-8500,10:00~22:00
구포점,부산광역시 북구 구포3동 1213-18,051-336-5152,11:00~24:00
국민대점,서울특별시 성북구 정릉동 861-1 공학관 1층,02-910-4984,11:00~19:30
군산나운점,"전라북도 군산시 수송로 42, 2필지 이레빌딩 106~8호",063-461-4800,10:30~22:40
군산새만금산단점,"전라북도 군산시 오식도동  1020 (새만금북로 424), 1층",063-465-5533,10:00~21:30
군산수송점,전라북도 군산시 수송동  827-16번지,063-461-7780,10:00~23:00
군산조촌점,전북 군산시 구암로 50 (조촌동) 전라북도 군산시 조촌동 2-22,063-445-1478,10:30 ~ 22:00
군산지곡점,전북 군산시 지곡동 487-8 ,063-466-7376,11:00~21:00
군자역점,서울특별시 광진구 능동로 300,02-444-3400,10:30~22:00
군포당동점,경기 군포시 고산로250번길 1 (당동) 2층,031-391-9262,10:00~22:00
군포산본점,"경기도 군포시 광정로 68, 203호",031-393-8009,10:30~22:00
굽은다리역점,서울 강동구 천호동 50-13 ,02-481-0037,10:00~22:20
금산중부대점,충청남도 금산군 추부면 마전리 692,041-752-9289,11:00~21:30
금정역AK점,"경기 군포시 엘에스로 143 (금정동, 힐스테이트 금정역) 1001호(힐스테이트 금정역)",031-429-0661,10:00~22:20
금천시흥사거리점,"서울특별시 금천구 시흥대로 204, 1층",02-804-7779,10:00~22:00
금천은행나무점,서울특별시 금천구 금하로 726,02-892-3338,10:00~22:00
기흥구청점,경기도 용인시 기흥구 구갈로 70 메가타운 102호,031-274-7744,10:30~22:30
기흥역AK점,경기 용인시 기흥구 기흥역로 63 (구갈동 힐스테이트 기흥) 101호,031-282-7329,10:30~22:00
김제점,전라북도 김제시 요촌동 182-11,063-547-4909,10:00~22:00
김천신음점,경북 김천시 신음동 462-25 1층,054-434-1487,10:00 ~ 22:00
김천평화점,경상북도 김천시 평화동  245-22 1층,054-437-9933,10:00~22:00
김천혁신도시점,경상북도 김천시 율곡동  366번지 103호,054-433-4234,10:00~21:30
김포감정점,경기도 김포시 감정동 515-11,031-981-5470,10:50~22:00
김포걸포점,경기도 김포시 걸포2로 49,031-998-5559,11:00~21:30
김포고촌점,경기도 김포시 고촌읍 김포대로 344,031-986-6545,10:30~22:00
김포구래점,경기도 김포시 구래동  6883-2 아스타프라자 123호 (김포한강9로76번길 63),031-996-9070,11:00~22:00
김포대곶점,경기도 김포시 대곶면 율생리 498-1,031-997-4793,10:00~21:30
김포마산점,"경기도 김포시 마산동  646-3,104,105호",031-988-9281,11:00~22:20
김포사우점,"경기도 김포시 북변동  825번지 테마프라자 1층 104호(사우중로 79, 104호(북변동,테마",031-985-8186,11:00~22:00
김포수변점,경기도 김포시 김포한강2로 23번길 10,031-985-4289,11:00~21:30
김포운양점,"경기 김포시 김포한강11로 288-19 (운양동, 운양프라자) ",031-982-9273,11:00~22:30
김포장기점,경기도 김포시 장기동  1615,031-985-6663,11:00~22:20
김포통진점,경기도 김포시 통진읍 김포대로 2230번길 21-10,031-989-5117,10:00~21:50
김포트레이더스점,경기도 김포시 풍무동  16-10,031-984-9880,10:30~20:40
김포풍무점,"경기도 김포시 풍무동  405-4,2층",031-984-7889,11:00~21:50
김해메가마트점,경상남도 김해시 김해대로2492번길 20 김해메가마트,055-335-0203,10:30~22:00
김해부원점,경상남도 김해시 호계로472번길 39-9,055-333-5677,10:30~22:30
김해삼방점,경상남도 김해시 활천로267번길 30번지,055-322-4913,11:00~22:30
김해서상점,경상남도 김해시 가락로 96 1층,055-328-9978,11:00~23:00
김해신세계점,경남 김해시 김해대로 2232 (외동) 2층,055-272-1291,11:00~22:30
김해아이스퀘어점,경상남도 김해시 김해대로 2342 3층,055-335-3358,11:10~22:30
김해율하2지구점,"경상남도 김해시 장유동 825-1, 1층",055-335-8801,11:00~21:00
김해율하점,경상남도 김해시 율하2로 52,055-327-9282,11:00~22:30
김해인제대점,경상남도 김해시 인제로 194,055-335-9982,11:00~22:30
김해주촌점,경상남도 김해시 천곡로 14,055-336-0245,11:00~22:00
김해진례점,경상남도 김해시 진례면 송현로 21,055-345-1224,11:00~22:30
김해한림점,경상남도 김해시 한림면 신천리 391-21,055-345-1199,10:00~22:00
까치산점,"서울특별시 강서구 강서로  42-1,2층",02-2608-8482,11:00~22:30
나주남평점,"전라남도 나주시 남평읍 동사리 358-1( 강변2길 27-1), 102호",061-331-7707,10:00~21:30
나주빛가람1호점,전라남도 나주시 월정5길 1,061-333-2256,10:30~21:30
나주터미널점,"전라남도 나주시 나주로 185, 105호 (중앙동)",061-332-7092,09:30~22:00
낙민안락점,"부산광역시 동래구 충렬대로446번길 67, 상가동 101호",051-532-3495,11:00~24:00
낙성대역점,서울특별시 관악구 행운동  1688-124,02-883-2628,11:00~22:00
남목동점,울산광역시 동구 동부동 313,052-252-7999,10:00~23:00
남성역점,서울특별시 동작구 사당동  220-10 외 1필지,02-533-7782,11:00~22:00
남악도청점,전라남도 무안군 삼향읍 남악리 1556,061-285-9959,10:00~22:30
남양주금곡점,경기도 남양주시 경춘로 996,031-593-9998,10:00~21:50
남양주다산진건점,"경기도 남양주시 다산순환로 424, 203호",031-555-2299,10:30~21:30
남양주덕소점,"경기 남양주시 와부읍 덕소로97번길 2 (덕소리, 동산빌딩) 201호",031-576-9783,11:00 ~ 23:00
남양주도농점,경기 남양주시 다산동 6175-1 ,031-557-1255,10:30~22:00
남양주마석점,경기 남양주시 화도읍 마석우리 404-7 ,031-511-0056,11:30~22:00
남양주별내1점,경기도 남양주시 별내동  1084-5,031-571-9295,11:00~22:00
남양주부평점,경기 남양주시 진접읍 부평리 702-1 ,031-528-4566,10:30~21:30
남양주사능점,"경기도 남양주시 진건읍 용정리 780-4(진건오남로 77), 심미에셈빌",031-528-0701,10:20 ~ 22:00
남양주장현점,경기도 남양주시 진접읍 장현로47번길 6-9,031-571-9996,11:00~22:00
남양주지금점,경기도 남양주시 다산지금로  131 105호,031-568-3080,11:00~22:00
남양주창현점,경기 남양주시 화도읍 창현리 547-15 106-107호,031-593-9907,11:30~22:00
남양주청학점,경기도 남양주시 별내면 청학로중앙길 13-23,031-846-0222,11:00~22:00
남양주평내점,경기도 남양주시 평내동  579-3 엠투프라자 제1층,031-594-2344,11:00~22:30
남원도통점,전라북도 남원시 도통동 111-13,063-635-4292,10:30~21:50
남창점,울산광역시 울주군 온양읍 연안8길 28번지,052-238-9255,11:00~22:00
남해다랭이마을점,경상남도 남해군 남면 남면로 994,055-864-1133,10:00~22:00
남해스포츠파크점,경상남도 남해군 서면 남서대로 1680,055-862-9997,10:00~21:00
남해창선점,경상남도 남해군 창선면 동부대로 2807-3,055-867-2807,11:00~20:00
내서삼계점3,경상남도 창원시 마산회원구 내서읍 삼계리 27 오아시스빌딩302호,055-232-8295,10:30~22:30
내서호계2점,경상남도 창원시 마산회원구 내서읍 호계리 80번지 202호 (호계본동로 18 (코오롱 하늘채2차 다올채 1동202,055-294-7477,10:30~22:30
내외점,경상남도 김해시 외동 1217-7,055-337-9982,11:00~22:30
내포신도시점,"충청남도 홍성군 홍북읍 충남대로 50, 아프페온2차 109,110호",041-634-9280,10:00~22:00
노량진1호점,서울특별시 동작구 노량진동 211-44,02-815-3339,10:30~22:30
노량진2호점,서울특별시 동작구 노량진1동 85-6,02-812-6842,10:30~21:30
노원로데오점,"서울특별시 노원구 상계로3길  16,2층",02-951-5155,10:30~22:30
노원중계점,"서울특별시 노원구 중계동  360-12,1층",02-931-0777,11:00~22:30
노원하계점,서울특별시 노원구 노원로 257,02-979-1087,11:00~22:30
노형점,제주특별자치도 제주시 노형동 2585-1 중흥S클래스상가 101호,064-712-2828,11:00~22:00
노화보길점,"전라남도 완도군 노화읍 이포리 890-4, 1층",061-555-4335,11:00~20:00
녹양점,경기도 의정부시 녹양동 354-6번지 101호,031-837-8822,11:00~22:50
논산건양대점,충청남도 논산시 대학로 134,041-742-9288,11:00~20:00
논산내동점,충청남도 논산시 내동  627번지 1층,041-736-9288,10:00~22:00
논산연무점,충청남도 논산시 연무읍 안심로 112,041-742-0114,10:00~21:00
논산오거리점,충청남도 논산시 중앙로 419 (취암동 177-3),041-732-4241,10:00~23:00
논현역점(인천),인천광역시 남동구 논현동 740-2 1층,032-422-9280,11:00~22:00
다대낫개역점,부산광역시 사하구 다대로429번길 15,051-262-9003,11:00~22:30
다산역점,"경기 남양주시 다산순환로 173 (다산동, 다산 한양수자인 리버팰리스 상 105호",031-552-2588,12 : 00 ~ 23 : 00
담양읍점,"전라남도 담양군 담양읍 죽향대로 1195, 1층",061-383-8993,11:00~23:00
답십리역점,"서울 동대문구 천호대로 289 (답십리동, 한일노벨리아) 102,103호",02-2244-6333,10:30 ~ 23:00
당리점,부산광역시 사하구 당리동 132-2,051-293-7666,11:00~21:00
당산역점,"서울특별시 영등포구 양평로 59, 1층 101호",02-2679-0700,10:00~21:30
당진기지시점,"충청남도 당진시 송악읍 기지시1길 62,1층",041-353-9282,10:00~22:00
당진신평점,충남 당진시 신평면 거산3거리길 37 (거산리 명인치과) ,041-363-9277,10:30~21:30
당진읍내점,충청남도 당진시 당진중앙2로 117-36,041-357-9277,10:00~21:00
당진터미널점,충남 당진시 밤절로 132-81 (수청동) 102호,041-356-9288,09:00~23:00
대곡도원점,대구광역시 달서구 한실로 67,053-631-3200,11:00~22:00
대곡역점,대구광역시 달서구 비슬로 2728,053-643-7979,11:00~22:30
대구가톨릭대점,경상북도 경산시 하양읍 하양로 13-13(기숙사식당),070-4107-1545,10:00~20:00
대구교대점,대구광역시 남구 중앙대로 243,053-657-5228,10:30~22:00
대구구지점,대구광역시 달성군 구지면 응암리 1208-3,053-616-7782,10:00~21:20
대구금호점,대구광역시 북구 한강로 55 상가동 104-105호,053-321-6665,10:30~22:00
대구다사점,대구광역시 달성군 다사읍 달구벌대로 805,053-587-2357,10:30~22:00
대구대점,경상북도 경산시 진량읍 대구대로 252-4,053-246-2004,11:00~21:00
대구대현점,대구광역시 북구 대현동   119-9,053-955-4242,10:30~22:30
대구도남점,대구 북구 도남중앙로7길 24 (국우동) 국우동,053-321-7993,10:30~22:00
대구동구청점,대구광역시 동구 신암동  38-2,053-944-4242,11:30~20:00
대구동대구점,"대구광역시 동구 신천동  285-3(동부로22길 8), 1층",053-755-3357,10:00~23:00
대구동서변점,"대구광역시 북구 호국로43길 8-18(서변동),1층",053-281-1001,11:00~22:30
대구동호점,"대구광역시 동구 동호로 75,1층",053-956-9772,11:00~22:00
대구두류점,대구광역시 달서구 두류동 488-1,053-213-9942,10:20~22:20
